id,name,age,city,salary
1,Alice,45,Los Angeles,98205
2,Charlie,35,Houston,90582
3,Bob,28,Chicago,82072
4,David,21,Los Angeles,52764
5,Bob,53,New York,63448
6,Bob,50,Chicago,70690
7,Alice,20,New York,73682
8,David,33,Houston,88183
9,Charlie,26,Houston,42488
10,David,34,Chicago,87400
11,Alice,57,Chicago,69692
12,Alice,44,Los Angeles,52611
13,Bob,53,Houston,69018
14,David,57,Chicago,66389
15,Bob,28,Chicago,71627
16,David,37,New York,38964
17,Alice,52,Chicago,31275
18,Bob,44,New York,56190
19,Bob,48,Los Angeles,51606
20,Charlie,56,Chicago,89405
21,Alice,54,Chicago,85145
22,Bob,52,New York,56649
23,Bob,54,Los Angeles,33301
24,Charlie,44,Los Angeles,94318
25,Alice,38,Houston,34272
26,Bob,30,New York,67401
27,Alice,54,Los Angeles,79076
28,Alice,33,Los Angeles,85361
29,Charlie,21,Los Angeles,84766
30,David,47,Chicago,64246
31,Alice,35,Los Angeles,66922
32,Bob,39,New York,82950
33,Bob,34,Chicago,35519
34,Bob,48,New York,37439
35,Alice,37,Houston,55137
36,Charlie,26,Los Angeles,32874
37,David,39,Houston,62312
38,Alice,40,Los Angeles,34973
39,Charlie,50,New York,94475
40,Charlie,21,Chicago,43475
41,David,44,Chicago,82277
42,Alice,31,New York,49145
43,Alice,53,Houston,81447
44,Charlie,42,Chicago,53252
45,Alice,38,Chicago,36914
46,Charlie,44,Los Angeles,87735
47,Alice,38,Los Angeles,58293
48,Charlie,37,Los Angeles,58601
49,Charlie,53,New York,62539
50,David,27,Chicago,42880
51,David,58,Chicago,88499
52,Bob,22,Houston,51215
53,Alice,20,Houston,79447
54,Alice,29,Houston,30787
55,Bob,54,Los Angeles,30848
56,Bob,26,Chicago,88448
57,Alice,51,Los Angeles,71480
58,Bob,59,Los Angeles,79580
59,Alice,32,Chicago,81977
60,Charlie,51,New York,72808
61,Alice,27,New York,86221
62,Alice,44,Los Angeles,65782
63,David,32,Chicago,83523
64,Alice,44,Chicago,94274
65,Alice,51,Houston,58973
66,David,37,Los Angeles,36190
67,Alice,32,New York,56526
68,Alice,51,Houston,96419
69,Charlie,29,Chicago,95004
70,Bob,32,Los Angeles,69213
71,Alice,44,New York,93609
72,Charlie,56,New York,40470
73,Charlie,45,Los Angeles,54194
74,David,44,Houston,38774
75,Bob,30,Los Angeles,70232
76,Charlie,32,New York,67418
77,Bob,53,Chicago,54246
78,David,46,New York,50732
79,Alice,29,Houston,54296
80,Alice,36,Los Angeles,70683
81,Bob,34,Los Angeles,67318
82,David,28,Chicago,61732
83,Charlie,26,Los Angeles,42658
84,Bob,22,New York,95440
85,Alice,20,Los Angeles,43237
86,Alice,40,Chicago,79070
87,David,52,New York,40874
88,Alice,47,Chicago,46998
89,Bob,31,Houston,71678
90,Alice,43,Chicago,47085
91,David,22,New York,51296
92,Alice,27,Los Angeles,67470
93,David,40,Chicago,51464
94,Charlie,31,New York,75388
95,Bob,42,New York,42091
96,Bob,35,Houston,74852
97,Alice,39,Chicago,57615
98,Bob,48,New York,59037
99,Bob,26,Chicago,92324
100,Alice,33,Chicago,44479
101,Bob,58,New York,33600
102,David,22,Chicago,78398
103,David,35,Los Angeles,33717
104,Bob,38,Chicago,91530
105,Bob,44,Houston,53435
106,Alice,43,Chicago,68944
107,David,27,Los Angeles,64394
108,Bob,42,Chicago,75553
109,Charlie,43,Houston,58531
110,David,41,Houston,42934
111,Alice,22,Houston,37358
112,David,56,Los Angeles,88393
113,Alice,32,Los Angeles,92570
114,Alice,57,New York,73085
115,Bob,57,Houston,57014
116,Charlie,40,New York,34195
117,Alice,23,Chicago,96753
118,Bob,35,New York,75453
119,Alice,33,Chicago,72687
120,David,27,Los Angeles,61566
121,Bob,56,Los Angeles,43803
122,Charlie,35,Chicago,85106
123,Alice,52,Los Angeles,70553
124,Bob,46,Houston,61365
125,Charlie,48,Los Angeles,70988
126,Alice,52,Chicago,32104
127,David,47,New York,59958
128,Bob,23,New York,81621
129,Charlie,25,New York,56991
130,Bob,42,Los Angeles,98165
131,Bob,47,Houston,96458
132,Bob,51,Houston,30565
133,David,48,Houston,47873
134,Charlie,40,Chicago,49828
135,David,25,New York,90215
136,Alice,51,Los Angeles,39735
137,Bob,55,Chicago,45053
138,Bob,37,New York,91755
139,Bob,31,New York,44365
140,Charlie,50,Chicago,92877
141,Bob,25,New York,99823
142,Alice,45,Chicago,47241
143,Alice,48,Chicago,41222
144,David,37,New York,51695
145,David,24,Los Angeles,72377
146,Alice,20,Chicago,69382
147,Charlie,46,New York,54105
148,Bob,20,Houston,84170
149,Charlie,33,Chicago,45199
150,David,47,Los Angeles,40902
151,Bob,52,Los Angeles,55660
152,Charlie,59,Los Angeles,42106
153,Alice,25,Chicago,34753
154,David,38,Chicago,30413
155,Charlie,21,Chicago,68524
156,Bob,50,New York,72435
157,Bob,22,Houston,51050
158,David,47,Houston,38021
159,David,56,Houston,44471
160,David,20,Chicago,74570
161,Charlie,56,Los Angeles,55746
162,Alice,57,Los Angeles,54435
163,Alice,22,New York,51718
164,David,42,New York,37536
165,Alice,29,Los Angeles,92169
166,Charlie,22,New York,74034
167,Charlie,53,Chicago,52733
168,Charlie,28,Houston,91877
169,Alice,39,Los Angeles,45826
170,Charlie,40,New York,53132
171,David,22,Houston,78973
172,Bob,29,New York,57030
173,Bob,44,New York,59173
174,David,26,Los Angeles,37198
175,Charlie,41,Chicago,71141
176,David,30,New York,30067
177,Alice,26,Los Angeles,39110
178,Charlie,55,Los Angeles,31424
179,Charlie,37,New York,54016
180,David,49,Chicago,62952
181,David,52,Chicago,53766
182,Alice,26,New York,44132
183,David,24,Los Angeles,74627
184,Bob,24,Houston,99334
185,David,40,Houston,66797
186,Charlie,31,New York,63777
187,David,21,New York,79356
188,Alice,33,New York,90591
189,Bob,34,Los Angeles,33074
190,David,51,New York,78603
191,Bob,23,Chicago,33874
192,Alice,34,Houston,68035
193,Charlie,40,Chicago,55349
194,Alice,53,New York,31433
195,Alice,56,Chicago,97033
196,Bob,34,Chicago,99342
197,Alice,32,Chicago,87420
198,Alice,23,Chicago,59124
199,David,44,Los Angeles,77410
200,Charlie,28,Los Angeles,63747
201,Bob,36,New York,61591
202,David,35,Houston,55544
203,Bob,24,Los Angeles,48903
204,David,47,Houston,60394
205,David,33,Houston,71501
206,Charlie,48,Los Angeles,63366
207,Bob,36,Houston,40859
208,Charlie,39,Chicago,34963
209,David,47,Los Angeles,47994
210,David,31,Los Angeles,36796
211,Alice,34,Los Angeles,66657
212,Alice,43,New York,87579
213,Charlie,29,New York,81951
214,Alice,33,New York,44548
215,Bob,33,New York,58653
216,Charlie,45,New York,39606
217,Alice,46,Los Angeles,49334
218,Bob,57,Houston,42129
219,Alice,50,New York,49116
220,Bob,41,Los Angeles,93434
221,Charlie,32,Chicago,76321
222,Charlie,35,Houston,64813
223,Bob,37,Houston,60057
224,Alice,38,New York,69885
225,Charlie,51,Houston,53977
226,Charlie,51,Houston,56918
227,David,36,Los Angeles,38134
228,Bob,53,Los Angeles,84875
229,David,57,Houston,48655
230,Alice,44,New York,97455
231,Charlie,50,Houston,74689
232,Alice,57,New York,70604
233,Charlie,32,New York,67501
234,David,22,Chicago,83898
235,Charlie,54,Los Angeles,59811
236,David,45,New York,88598
237,David,37,Chicago,43069
238,Alice,44,Houston,74147
239,Bob,38,Houston,36720
240,Bob,40,Houston,58597
241,David,38,Houston,95978
242,Alice,48,New York,49135
243,Charlie,28,Los Angeles,79996
244,David,24,Chicago,59333
245,Bob,37,New York,47358
246,Bob,58,Chicago,43765
247,David,55,New York,57105
248,David,43,Houston,31746
249,Alice,34,Houston,50563
250,David,51,Chicago,78840
251,David,58,Houston,56617
252,Bob,30,Houston,56578
253,Bob,29,Los Angeles,56987
254,Charlie,46,Chicago,76058
255,David,45,New York,55686
256,Charlie,58,New York,79144
257,Bob,59,New York,47791
258,Charlie,59,New York,91134
259,Charlie,58,New York,74054
260,Charlie,20,Los Angeles,97383
261,Charlie,46,Los Angeles,81568
262,David,44,Los Angeles,81174
263,David,57,Los Angeles,97310
264,David,42,Los Angeles,55232
265,Charlie,39,Chicago,95950
266,David,24,Chicago,74110
267,Charlie,26,New York,54893
268,David,31,Chicago,34596
269,Charlie,47,Chicago,79694
