Name,Age,Gender,Height,Weight
Marcos,74,Female,170.4061259455611,85.22390202401232
Javier,45,Female,169.4175747116577,68.893228856149
Susana,44,Male,155.46770867243663,53.520577585630136
Luis,43,Female,175.99776088903138,64.17214990862928
Fernando,38,Male,174.30147182753183,62.20926830663881
Marcelo,72,Female,198.55577681683383,66.2362415652625
Julia,64,Female,163.60391100194454,51.81219062889335
Patricia,23,Female,169.30865192920592,50.34542142186936
Mercedes,64,Female,160.83230637883534,94.26819803180692
Lucas,29,Female,155.88935203727837,68.8664000577867
Mateo,42,Male,187.0246145521504,63.350025178069615
Natalia,68,Male,160.82837884905555,78.9726183673457
Nicolás,48,Female,194.98557852059866,58.73420118027592
Agustín,79,Male,161.1991098889838,51.13530972680579
Nicolás,39,Female,195.8701557303231,60.951908732382385
Marcos,38,Female,156.03619966379554,95.8712604660543
Laura,28,Female,194.50086128527272,90.78885364785273
Marcelo,40,Male,180.56023235809636,85.0365112197407
Martín,62,Female,183.82763972075907,63.13084280133752
Facundo,27,Female,151.96007855626388,59.43834158456053
Susana,57,Male,172.01661714577824,84.85708190452317
Roberto,54,Female,151.18839225041327,91.67235188467706
Daniela,26,Female,164.90149184118619,94.01060144425509
Claudia,57,Male,189.534499346097,76.071252022626
Sofía,19,Male,152.91984233849035,81.73318310985519
Marcos,38,Female,151.86358713678018,98.40915738860232
Fernando,36,Male,170.74682911036837,68.13819468176088
Juan,51,Female,194.28789050495914,87.50223963081676
Gustavo,32,Male,193.75651874078943,62.593072915094865
Juan,29,Male,176.67605971976693,54.70842555029114
María,79,Male,154.9819488380242,73.94783489606925
Martín,35,Female,177.72282779543687,84.52437189600775
Nicolás,39,Male,170.78173597535203,52.86681259477303
Gustavo,32,Female,158.84251623332952,96.24213352786208
Ricardo,53,Male,165.77223047682853,62.09963570217729
Daniela,77,Female,184.1588232839736,80.9529427747047
Ailén,65,Female,195.48506992095122,57.926590997609864
Sol,52,Female,178.41057963575287,67.52651297034092
Mercedes,40,Male,170.51001107772245,83.89541156503844
Ailén,19,Male,193.47390173325073,91.63271237791079
Gonzalo,41,Female,192.68973351888104,78.79207651858934
Mónica,32,Male,163.88500140066296,54.95960399134774
Fernando,67,Female,192.76341322903386,82.72670568246784
Silvana,64,Female,151.5569491792655,79.67113600085308
Ailén,24,Male,177.4296837117885,70.95496268606188
Alejandro,56,Female,181.05966091675833,85.47336928736347
Mariana,55,Male,159.6883029356554,61.05394098038166
Susana,44,Male,198.53102665868636,79.81190056939245
Facundo,68,Male,152.5014020509921,87.93351793363368
Camila,47,Female,173.43162556051988,89.97431789877034
José,32,Male,157.99074409319033,86.86658961493734
Sofía,54,Male,177.5233570684542,71.71513871386328
Marcelo,63,Female,193.93030355980432,70.69060049486379
